mes,mes_num,fornecedor_id,fornecedor,livro_id,titulo,genero,quantidade,custo_unitario,valor_compra,prazo_dias
Jan,1,F001,Aurora Distribuidora,L001,O Reino de Âmbar,Fantasia,150,36.50,5475.00,11
Fev,2,F001,Aurora Distribuidora,L001,O Reino de Âmbar,Fantasia,160,36.80,5888.00,10
Mar,3,F001,Aurora Distribuidora,L001,O Reino de Âmbar,Fantasia,165,37.20,6138.00,12
Abr,4,F001,Aurora Distribuidora,L001,O Reino de Âmbar,Fantasia,175,37.40,6545.00,11
Mai,5,F001,Aurora Distribuidora,L001,O Reino de Âmbar,Fantasia,180,37.60,6768.00,10
Jun,6,F001,Aurora Distribuidora,L001,O Reino de Âmbar,Fantasia,190,37.80,7182.00,11
Jul,7,F001,Aurora Distribuidora,L001,O Reino de Âmbar,Fantasia,180,38.00,6840.00,12
Ago,8,F001,Aurora Distribuidora,L001,O Reino de Âmbar,Fantasia,195,38.20,7449.00,10
Set,9,F001,Aurora Distribuidora,L001,O Reino de Âmbar,Fantasia,205,38.50,7892.50,11
Out,10,F001,Aurora Distribuidora,L001,O Reino de Âmbar,Fantasia,220,38.80,8536.00,10
Nov,11,F001,Aurora Distribuidora,L001,O Reino de Âmbar,Fantasia,235,39.10,9188.50,9
Dez,12,F001,Aurora Distribuidora,L001,O Reino de Âmbar,Fantasia,255,39.50,10072.50,10
Jan,1,F004,Horizonte Livros,L004,Jardim de Inverno,Romance,120,24.90,2988.00,9
Fev,2,F004,Horizonte Livros,L004,Jardim de Inverno,Romance,125,25.10,3137.50,9
Mar,3,F004,Horizonte Livros,L004,Jardim de Inverno,Romance,130,25.20,3276.00,8
Abr,4,F004,Horizonte Livros,L004,Jardim de Inverno,Romance,135,25.40,3429.00,10
Mai,5,F004,Horizonte Livros,L004,Jardim de Inverno,Romance,140,25.50,3570.00,9
Jun,6,F004,Horizonte Livros,L004,Jardim de Inverno,Romance,145,25.70,3726.50,8
Jan,1,F001,Aurora Distribuidora,L007,O Último Horizonte,Ficção Científica,160,31.90,5104.00,11
Fev,2,F001,Aurora Distribuidora,L007,O Último Horizonte,Ficção Científica,170,32.10,5457.00,10
Mar,3,F001,Aurora Distribuidora,L007,O Último Horizonte,Ficção Científica,175,32.30,5652.50,11
Abr,4,F001,Aurora Distribuidora,L007,O Último Horizonte,Ficção Científica,185,32.50,6012.50,10
Mai,5,F001,Aurora Distribuidora,L007,O Último Horizonte,Ficção Científica,195,32.70,6376.50,11
Jun,6,F001,Aurora Distribuidora,L007,O Último Horizonte,Ficção Científica,205,32.90,6744.50,10
