mes,mes_num,livro_id,titulo,genero,quantidade,preco,receita
Jan,1,L001,O Reino de Âmbar,Fantasia,75,69.90,5242.50
Fev,2,L001,O Reino de Âmbar,Fantasia,74,69.90,5172.60
Mar,3,L001,O Reino de Âmbar,Fantasia,78,69.90,5452.20
Abr,4,L001,O Reino de Âmbar,Fantasia,80,69.90,5592.00
Mai,5,L001,O Reino de Âmbar,Fantasia,84,69.90,5871.60
Jun,6,L001,O Reino de Âmbar,Fantasia,86,69.90,6011.40
Jul,7,L001,O Reino de Âmbar,Fantasia,83,69.90,5801.70
Ago,8,L001,O Reino de Âmbar,Fantasia,82,69.90,5731.80
Set,9,L001,O Reino de Âmbar,Fantasia,85,69.90,5941.50
Out,10,L001,O Reino de Âmbar,Fantasia,86,69.90,6011.40
Nov,11,L001,O Reino de Âmbar,Fantasia,95,69.90,6640.50
Dez,12,L001,O Reino de Âmbar,Fantasia,107,69.90,7479.30
Jan,1,L002,A Torre de Vidro,Fantasia,88,64.90,5711.20
Fev,2,L002,A Torre de Vidro,Fantasia,93,64.90,6035.70
Mar,3,L002,A Torre de Vidro,Fantasia,100,64.90,6490.00
Abr,4,L002,A Torre de Vidro,Fantasia,103,64.90,6684.70
Mai,5,L002,A Torre de Vidro,Fantasia,103,64.90,6684.70
Jun,6,L002,A Torre de Vidro,Fantasia,110,64.90,7139.00
Jul,7,L002,A Torre de Vidro,Fantasia,106,64.90,6879.40
Ago,8,L002,A Torre de Vidro,Fantasia,106,64.90,6879.40
Set,9,L002,A Torre de Vidro,Fantasia,116,64.90,7528.40
Out,10,L002,A Torre de Vidro,Fantasia,121,64.90,7852.90
Nov,11,L002,A Torre de Vidro,Fantasia,128,64.90,8307.20
Dez,12,L002,A Torre de Vidro,Fantasia,140,64.90,9086.00
Jan,1,L003,Crônicas do Norte,Fantasia,112,74.90,8388.80
Fev,2,L003,Crônicas do Norte,Fantasia,112,74.90,8388.80
Mar,3,L003,Crônicas do Norte,Fantasia,115,74.90,8613.50
Abr,4,L003,Crônicas do Norte,Fantasia,121,74.90,9062.90
Mai,5,L003,Crônicas do Norte,Fantasia,133,74.90,9961.70
Jun,6,L003,Crônicas do Norte,Fantasia,136,74.90,10186.40
Jul,7,L003,Crônicas do Norte,Fantasia,132,74.90,9886.80
Ago,8,L003,Crônicas do Norte,Fantasia,141,74.90,10560.90
Set,9,L003,Crônicas do Norte,Fantasia,144,74.90,10785.60
Out,10,L003,Crônicas do Norte,Fantasia,157,74.90,11759.30
Nov,11,L003,Crônicas do Norte,Fantasia,165,74.90,12358.50
Dez,12,L003,Crônicas do Norte,Fantasia,188,74.90,14081.20
Jan,1,L004,Jardim de Inverno,Romance,66,44.90,2963.40
Fev,2,L004,Jardim de Inverno,Romance,68,44.90,3053.20
Mar,3,L004,Jardim de Inverno,Romance,74,44.90,3322.60
Abr,4,L004,Jardim de Inverno,Romance,76,44.90,3412.40
Mai,5,L004,Jardim de Inverno,Romance,80,44.90,3592.00
Jun,6,L004,Jardim de Inverno,Romance,80,44.90,3592.00
Jul,7,L004,Jardim de Inverno,Romance,78,44.90,3502.20
Ago,8,L004,Jardim de Inverno,Romance,85,44.90,3816.50
Set,9,L004,Jardim de Inverno,Romance,87,44.90,3906.30
Out,10,L004,Jardim de Inverno,Romance,94,44.90,4220.60
Nov,11,L004,Jardim de Inverno,Romance,103,44.90,4624.70
Dez,12,L004,Jardim de Inverno,Romance,118,44.90,5298.20
Jan,1,L005,Cartas para Lisboa,Romance,79,49.90,3942.10
Fev,2,L005,Cartas para Lisboa,Romance,80,49.90,3992.00
Mar,3,L005,Cartas para Lisboa,Romance,83,49.90,4141.70
Abr,4,L005,Cartas para Lisboa,Romance,84,49.90,4191.60
Mai,5,L005,Cartas para Lisboa,Romance,86,49.90,4291.40
Jun,6,L005,Cartas para Lisboa,Romance,93,49.90,4640.70
Jul,7,L005,Cartas para Lisboa,Romance,86,49.90,4291.40
Ago,8,L005,Cartas para Lisboa,Romance,90,49.90,4491.00
Set,9,L005,Cartas para Lisboa,Romance,89,49.90,4441.10
Out,10,L005,Cartas para Lisboa,Romance,97,49.90,4840.30
Nov,11,L005,Cartas para Lisboa,Romance,100,49.90,4990.00
Dez,12,L005,Cartas para Lisboa,Romance,112,49.90,5588.80
Jan,1,L006,Depois da Chuva,Romance,87,42.90,3732.30
Fev,2,L006,Depois da Chuva,Romance,88,42.90,3775.20
Mar,3,L006,Depois da Chuva,Romance,91,42.90,3903.90
Abr,4,L006,Depois da Chuva,Romance,95,42.90,4075.50
